,condition,odometer,mmr,sellingprice,using_time
97485,3.4,64697.0,10450,9800,3
101563,3.6,88443.0,9925,10500,8
52419,1.9,121046.0,3700,4800,11
158610,3.6,50402.0,10950,10700,2
496039,4.0,27094.0,17700,18100,0
36340,3.8,27079.0,11700,12200,3
195688,1.9,30170.0,15000,13300,4
127800,5.0,6088.0,25300,26000,2
425042,2.5,122197.0,7700,8500,10
509353,3.7,23421.0,10550,9500,2
170478,4.6,13549.0,29400,28700,2
36856,2.8,48227.0,8400,8700,5
84089,3.9,48569.0,8575,9000,2
139002,5.0,50499.0,15100,15700,3
94346,4.4,35491.0,11450,10600,4
216941,2.0,139114.0,3550,3950,10
259633,4.6,29593.0,21500,19800,2
447859,2.0,124371.0,1775,2800,17
424226,4.4,4917.0,13850,13200,0
397516,4.7,26238.0,17350,17700,2
475015,,125946.0,13350,9800,4
252395,4.3,31754.0,27700,31100,3
73042,3.1,74539.0,18950,16750,5
177385,2.0,32601.0,16200,15700,1
80140,3.7,88889.0,5950,5100,8
469003,1.9,94009.0,8800,9500,11
224259,2.0,136501.0,6200,6400,7
167569,3.2,96797.0,17350,17000,5
72870,3.9,22537.0,10750,11100,3
459926,1.9,127966.0,3800,4000,11
435451,2.0,154230.0,6450,4100,11
412976,4.3,105544.0,18900,20000,6
300526,4.1,27659.0,31300,29800,2
65636,4.0,60784.0,11400,11800,2
66566,3.5,25231.0,14200,15000,2
136037,3.2,46977.0,21600,20700,2
501177,4.4,53946.0,27400,27700,2
230002,4.2,98577.0,6650,7000,3
484954,4.9,13607.0,12350,13600,1
428054,5.0,2288.0,19750,21000,0
191768,2.1,85644.0,4475,3300,7
535376,3.5,68966.0,3150,4600,9
492282,4.2,10982.0,15300,15400,0
117110,4.8,17468.0,22500,23600,0
79344,3.7,54427.0,9325,10200,4
364875,4.0,78280.0,6025,7900,9
530553,1.9,231735.0,225,700,11
185272,1.9,236465.0,575,800,14
519934,3.9,45178.0,8575,8600,7
256003,3.3,77626.0,16950,16200,4
348114,1.9,64020.0,10100,8500,9
389794,4.9,39442.0,13450,13900,5
212694,4.9,19681.0,18350,19700,1
476526,3.1,60176.0,9825,9100,2
106541,4.3,136480.0,13900,13700,3
147803,3.4,11034.0,14100,14500,3
319918,3.8,33969.0,10950,11600,2
84490,4.3,39575.0,22400,21500,9
512302,3.8,22576.0,27300,26700,2
455538,2.9,143306.0,5550,6100,6
78466,2.9,24349.0,11900,9300,2
29824,4.5,11909.0,22700,21000,3
335107,4.2,54157.0,11800,11800,4
499938,2.9,4137.0,12650,12200,1
457335,3.3,162252.0,1700,3700,16
205311,4.9,6940.0,24700,23000,2
118166,3.7,51303.0,13750,14000,5
